train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
0.1928623737588238,1.0614505835941859,0.24875621890547264,0.24875621890547264,1.0,0.398406374501992,1.0
0.0014681357528975635,0.006036202464851418,1.0,1.0,1.0,1.0,1.0
0.002542868731954793,1.875543906797767e-05,1.0,1.0,1.0,1.0,1.0
0.00016666342814740067,1.6930028867331464e-05,1.0,1.0,1.0,1.0,1.0
0.0001263488402794512,1.971879906445143e-05,1.0,1.0,1.0,1.0,1.0
8.741401674027517e-05,7.702522509589471e-06,1.0,1.0,1.0,1.0,1.0
0.00021151920371336857,5.542792605085976e-06,1.0,1.0,1.0,1.0,1.0
0.00012085648075062985,3.0685033038935217e-06,1.0,1.0,1.0,1.0,1.0
7.603479546199801e-05,2.9929314564469678e-06,1.0,1.0,1.0,1.0,1.0
2.3276466197767848e-05,3.0326108628742077e-06,1.0,1.0,1.0,1.0,1.0
8.027473153377356e-05,2.598331640513152e-06,1.0,1.0,1.0,1.0,1.0
2.145117108271349e-05,2.205488751120096e-06,1.0,1.0,1.0,1.0,1.0
3.974667157371834e-05,1.5190547750470223e-06,1.0,1.0,1.0,1.0,1.0
6.340720118947784e-05,1.5116254508435695e-06,1.0,1.0,1.0,1.0,1.0
3.2743375195073335e-05,2.0443900393526552e-06,1.0,1.0,1.0,1.0,1.0
3.524206553164694e-05,8.257763191973513e-07,1.0,1.0,1.0,1.0,1.0
9.47877279955378e-06,1.2306533275615754e-06,1.0,1.0,1.0,1.0,1.0
4.405671308967877e-06,2.409941679104577e-06,1.0,1.0,1.0,1.0,1.0
9.449892029726844e-06,1.3563530144113299e-06,1.0,1.0,1.0,1.0,1.0
3.377143421446648e-06,1.4626147033831266e-06,1.0,1.0,1.0,1.0,1.0
1.3972996441680152e-05,6.883934103387089e-07,1.0,1.0,1.0,1.0,1.0
4.066152871364291e-06,5.063334209052885e-07,1.0,1.0,1.0,1.0,1.0
8.427187046039934e-06,5.395646096267066e-07,1.0,1.0,1.0,1.0,1.0
9.701892749983762e-06,3.250964036384728e-07,1.0,1.0,1.0,1.0,1.0
1.0027793391961162e-05,6.976484565918944e-07,1.0,1.0,1.0,1.0,1.0
1.3113876441923803e-05,5.683429135570708e-07,1.0,1.0,1.0,1.0,1.0
3.4249968903729492e-06,3.6191462284205856e-07,1.0,1.0,1.0,1.0,1.0
9.193688144320662e-06,6.452996788348335e-07,1.0,1.0,1.0,1.0,1.0
1.5591958156827812e-05,8.341007744811739e-07,1.0,1.0,1.0,1.0,1.0
4.1842236353335675e-06,5.251684522176805e-07,1.0,1.0,1.0,1.0,1.0
5.947089242943968e-06,2.506924381100768e-07,1.0,1.0,1.0,1.0,1.0
6.757077850740354e-05,2.973074090409763e-07,1.0,1.0,1.0,1.0,1.0
2.5391893801249503e-06,6.593511964985461e-07,1.0,1.0,1.0,1.0,1.0
1.7932588325045083e-06,6.658352992770591e-07,1.0,1.0,1.0,1.0,1.0
1.0688400018866472e-05,6.229641269506203e-07,1.0,1.0,1.0,1.0,1.0
2.2965648131004854e-05,9.56823210757867e-07,1.0,1.0,1.0,1.0,1.0
7.428605405342873e-06,9.547098778840888e-07,1.0,1.0,1.0,1.0,1.0
7.661224130992231e-07,4.2924650589526436e-07,1.0,1.0,1.0,1.0,1.0
4.141742373884828e-06,7.284009653218959e-07,1.0,1.0,1.0,1.0,1.0
2.4259366639625475e-06,2.903619551147025e-07,1.0,1.0,1.0,1.0,1.0
3.8067775877200697e-06,3.842182046806134e-07,1.0,1.0,1.0,1.0,1.0
1.1141365728661867e-05,3.9801634115527964e-07,1.0,1.0,1.0,1.0,1.0
2.2905803576966066e-06,2.3126276715856875e-07,1.0,1.0,1.0,1.0,1.0
3.3590468125829775e-06,4.2481931312415053e-07,1.0,1.0,1.0,1.0,1.0
3.401900302722429e-06,2.7258557563517425e-07,1.0,1.0,1.0,1.0,1.0
1.033497821209112e-06,4.1493962768931626e-07,1.0,1.0,1.0,1.0,1.0
8.278626356110242e-07,2.7547575109920786e-07,1.0,1.0,1.0,1.0,1.0
1.0458049980455186e-06,4.393777698024388e-07,1.0,1.0,1.0,1.0,1.0
1.3566286762633249e-06,2.7946947540285247e-07,1.0,1.0,1.0,1.0,1.0
3.5862668353691056e-06,2.6189795966833985e-07,1.0,1.0,1.0,1.0,1.0
